,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
266,0.07279534339904785,0.0008948545494915119,0.0026009082794189453,0.0004904723691208054,20,sqrt,4,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-1.385985324737626,0.07893785428339128,0.2721700956510845,-0.1332713597840094,0.43923522573690976,-0.14578270177004996,0.6489512962285544,259,-236.71360406721982,-195.71649534332218,-214.53514260588636,-110.33306102786047,-132.2158723318086,-177.90283507521949,48.51995862761659,281
267,0.018335723876953126,0.00041760669278517195,0.0013993740081787109,0.000489318215007963,20,sqrt,4,10,50,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-1.8170069184561344,0.0004995265016782824,0.2537935612991472,-0.10020671443976292,0.37978109855527686,-0.25662788930795905,0.7988631001099578,319,-279.4752563800331,-212.3838556136584,-219.9518098714634,-107.11395247002433,-146.23383431841137,-193.03174173071812,60.2388350733691,323
268,0.03983659744262695,0.001543917798141943,0.0017026901245117188,0.0006007446823356899,20,sqrt,4,10,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-1.4580401543477262,0.0998022409001077,0.3153369756343911,-0.23794389476095712,0.38184712769731255,-0.17979954097537437,0.6746946181038046,286,-243.8621637128379,-191.28302183113613,-201.8112730620069,-120.52377227265318,-145.7467105584781,-180.64538828742246,43.33599206282191,296
269,0.07279181480407715,0.0008587914000003252,0.002602100372314453,0.0005837819977197657,20,sqrt,4,10,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-1.3678485373655422,0.16816181912837969,0.2588568350627143,-0.0657925715437151,0.4025820478897505,-0.12080808136568255,0.6418290870288536,234,-234.91425339203542,-176.7572950534106,-218.45935929691436,-103.76345949621899,-140.8578771531055,-174.95044887833697,48.41867147041324,261
270,0.018424463272094727,0.00038409679737015976,0.00100555419921875,7.44171568866707e-06,20,log2,1,2,50,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.3564547928636228,0.26986154642571436,0.695512009770661,0.6059259954349483,0.6822542884071632,0.37941980943497283,0.39910963314993847,3,-134.57388,-155.14711999999997,-89.75087999999998,-38.36626666666664,-74.91737777777776,-98.55110488888889,41.85441678068242,2
271,0.038173866271972653,0.001326974948842989,0.0014481067657470704,0.0004580743401059612,20,log2,1,2,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.7834240499949605,0.11457555649677609,0.5780445786402495,0.5462420492011161,0.7685219132893497,0.24479200952650615,0.5568495313877291,18,-176.93350000000004,-188.14384000000007,-124.37558000000006,-44.17697777777776,-54.57738888888889,-117.64145733333336,59.842438417041244,27
272,0.0759963035583496,0.0037226459520373735,0.002707386016845703,0.000676999261221923,20,log2,1,2,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.5665014111480697,0.18877704833168618,0.6045237566155515,0.6618223180319553,0.7191721724787937,0.32155877686198336,0.4817108582023746,5,-155.41260499999999,-172.376765,-116.57057750000006,-32.92431111111111,-66.21296111111107,-108.69944394444444,52.62289873338489,8
273,0.018524551391601564,0.00044645913501720376,0.0010012149810791015,2.4574468091440437e-06,20,log2,1,5,50,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-1.0861987849796377,0.23951580154258834,0.5322966637879654,0.1389601548359325,0.659874086312418,0.09688958429985328,0.6210219214567729,56,-206.97178145782982,-161.5952873302154,-137.86023538185935,-83.82913850572636,-80.19413209389434,-134.09011495390507,47.98630710911619,62
274,0.03745355606079102,0.0007996250714181232,0.0017006397247314453,0.0003990579781792829,20,log2,1,5,100,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1.5739944709376235,0.13867195624227457,0.46920276752568957,0.22798394443154024,0.6257736637337178,-0.022472427800880233,0.7947180695226439,156,-255.36599146172162,-183.0235960180791,-156.45779224412777,-75.16195820015894,-88.23425395078343,-151.64871837497418,65.78206694137299,159
275,0.07266669273376465,0.0004847424952800531,0.0037053585052490234,0.0006757536208735306,20,log2,1,5,200,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1.689126941592574,0.23043904462416465,0.5312153520627012,0.27374940802578407,0.5889217867750074,-0.012960270020983345,0.849631625436098,146,-266.78828387539926,-163.52400740781127,-138.1789628259982,-70.7063230655391,-96.92310760704828,-147.22413695635925,67.8649476187684,143
